Description,YearMonth,Consumption
"Natural Gas Consumed by the Electric Power Sector (Excluding",200913,7022.390
"Petroleum Consumed by the Electric Power Sector",200913,382.371
"Nuclear Electric Power Consumed by the Electric Power Sector",200913,8355.220
"Conventional Hydroelectric Power Consumed by the Electric Po",200913,2649.898
"Geothermal Energy Consumed by the Electric Power Sector",200913,146.485
"Solar/PV Energy Consumed by the Electric Power Sector",200913,8.697
"Wind Energy Consumed by the Electric Power Sector",200913,721.127
"Biomass Energy Consumed by the Electric Power Sector",200913,441.012
"Electric Power Sector Electricity Net Imports",200913,116.188
"Coal Consumed by the Electric Power Sector",201013,19133.455
"Natural Gas Consumed by the Electric Power Sector (Excluding",201013,7527.641
"Petroleum Consumed by the Electric Power Sector",201013,370.325
"Nuclear Electric Power Consumed by the Electric Power Sector",201013,8434.433
"Conventional Hydroelectric Power Consumed by the Electric Po",201013,2521.486
"Geothermal Energy Consumed by the Electric Power Sector",201013,148.479
"Solar/PV Energy Consumed by the Electric Power Sector",201013,11.762
"Wind Energy Consumed by the Electric Power Sector",201013,923.271
"Biomass Energy Consumed by the Electric Power Sector",201013,459.372
"Electric Power Sector Electricity Net Imports",201013,88.634
"Coal Consumed by the Electric Power Sector",201113,18035.175
"Natural Gas Consumed by the Electric Power Sector (Excluding",201113,7712.205
"Petroleum Consumed by the Electric Power Sector",201113,295.041
"Nuclear Electric Power Consumed by the Electric Power Sector",201113,8268.698
"Conventional Hydroelectric Power Consumed by the Electric Po",201113,3085.127
"Geothermal Energy Consumed by the Electric Power Sector",201113,148.811
"Solar/PV Energy Consumed by the Electric Power Sector",201113,16.782
"Wind Energy Consumed by the Electric Power Sector",201113,1167.094
"Biomass Energy Consumed by the Electric Power Sector",201113,436.727
"Electric Power Sector Electricity Net Imports",201113,127.101
"Coal Consumed by the Electric Power Sector",201213,15821.248
"Natural Gas Consumed by the Electric Power Sector (Excluding",201213,9286.793
"Petroleum Consumed by the Electric Power Sector",201213,214.205
"Nuclear Electric Power Consumed by the Electric Power Sector",201213,8061.822
"Conventional Hydroelectric Power Consumed by the Electric Po",201213,2606.047
"Geothermal Energy Consumed by the Electric Power Sector",201213,148.092
"Solar/PV Energy Consumed by the Electric Power Sector",201213,39.625
"Wind Energy Consumed by the Electric Power Sector",201213,1339.365
"Biomass Energy Consumed by the Electric Power Sector",201213,452.644
"Electric Power Sector Electricity Net Imports",201213,161.256
"Coal Consumed by the Electric Power Sector",201313,16450.559
"Natural Gas Consumed by the Electric Power Sector (Excluding",201313,8376.233
"Petroleum Consumed by the Electric Power Sector",201313,255.163
"Nuclear Electric Power Consumed by the Electric Power Sector",201313,8244.433
"Conventional Hydroelectric Power Consumed by the Electric Po",201313,2528.923
"Geothermal Energy Consumed by the Electric Power Sector",201313,150.506
"Solar/PV Energy Consumed by the Electric Power Sector",201313,83.240
"Wind Energy Consumed by the Electric Power Sector",201313,1600.424
"Biomass Energy Consumed by the Electric Power Sector",201313,469.611
"Electric Power Sector Electricity Net Imports",201313,201.316
"Coal Consumed by the Electric Power Sector",201413,16437.666
"Natural Gas Consumed by the Electric Power Sector (Excluding",201413,8366.113
"Petroleum Consumed by the Electric Power Sector",201413,294.290
"Nuclear Electric Power Consumed by the Electric Power Sector",201413,8328.558
"Conventional Hydroelectric Power Consumed by the Electric Po",201413,2442.579
"Geothermal Energy Consumed by the Electric Power Sector",201413,158.652
"Solar/PV Energy Consumed by the Electric Power Sector",201413,170.490
"Wind Energy Consumed by the Electric Power Sector",201413,1733.060
"Biomass Energy Consumed by the Electric Power Sector",201413,506.615
"Electric Power Sector Electricity Net Imports",201413,164.186
